Timestamp,Video File,Color (CSS3),Substance,Cumulative Area
2025-04-28 22:50:05,IMG_1143.MOV,violet-plum,Unknown,48.05pxx2
2025-04-28 22:50:07,IMG_1143.MOV,paleturquoise-powderblue,phanta,48.50pxx2
2025-04-28 22:50:07,IMG_1143.MOV,orchid-plum,Unknown,48.63pxx2
2025-04-28 22:50:07,IMG_1143.MOV,thistle-pink,Unknown,49.40pxx2
2025-04-28 22:50:21,IMG_1143.MOV,paleturquoise-powderblue,phanta,49.85pxx2
2025-04-28 22:50:21,IMG_1143.MOV,lightsteelblue,phanta,50.59pxx2
2025-04-28 22:50:23,IMG_1143.MOV,paleturquoise-powderblue,phanta,51.05pxx2
2025-04-28 22:50:23,IMG_1143.MOV,paleturquoise-lightcyan,water,51.50pxx2
2025-04-28 22:50:29,IMG_1143.MOV,paleturquoise-powderblue,phanta,51.96pxx2
2025-04-28 22:50:34,IMG_1143.MOV,paleturquoise-powderblue,phanta,52.45pxx2
2025-04-28 22:50:48,IMG_1143.MOV,gainsboro-paleturquoise,phanta,52.91pxx2
2025-04-28 23:22:38,IMG_1155.MOV,gainsboro-powderblue,phanta,53.92pxx2
2025-04-28 23:22:39,IMG_1155.MOV,gainsboro-powderblue,phanta,54.93pxx2
2025-04-28 23:28:25,IMG_1155.MOV,paleturquoise-powderblue,phanta,55.28pxx2
2025-04-28 23:28:25,IMG_1155.MOV,lavenderblush,milk_lavanodaka,55.72pxx2
2025-04-28 23:28:25,IMG_1155.MOV,linen,Unknown,56.67pxx2
2025-04-28 23:28:27,IMG_1155.MOV,paleturquoise-powderblue,phanta,57.02pxx2
2025-04-28 23:28:27,IMG_1155.MOV,lavenderblush,milk_lavanodaka,57.47pxx2
2025-04-28 23:28:27,IMG_1155.MOV,linen,Unknown,58.44pxx2
2025-04-28 23:28:27,IMG_1155.MOV,paleturquoise-powderblue,phanta,58.79pxx2
2025-04-28 23:28:27,IMG_1155.MOV,lavenderblush,milk_lavanodaka,59.24pxx2
2025-04-28 23:28:27,IMG_1155.MOV,linen,Unknown,60.20pxx2
2025-04-28 23:28:28,IMG_1155.MOV,paleturquoise-powderblue,phanta,60.55pxx2
2025-04-28 23:28:28,IMG_1155.MOV,lavenderblush,milk_lavanodaka,61.00pxx2
2025-04-28 23:28:28,IMG_1155.MOV,linen,Unknown,61.98pxx2
2025-04-28 23:28:28,IMG_1155.MOV,paleturquoise-powderblue,phanta,62.43pxx2
2025-04-28 23:28:28,IMG_1155.MOV,linen,Unknown,62.78pxx2
2025-04-28 23:28:28,IMG_1155.MOV,linen,Unknown,63.76pxx2
